id,text,option1,option2,option3
12020001,下面哪個名字代表著學園中的一個學院？,神威,盤龍,星宿
12020002,下面哪個名字不屬於學園中的六個學院之一？,隱蹤,修羅,威風
12020003,在戰鬥中，神威學院的戰姬對哪個學院的戰姬有額外的克制效果？,風見學院,隱蹤學院,曇華學院
12020004,在戰鬥中，哪個學院的戰姬會對神威學院的戰姬有額外的克制效果？,風見學院,隱蹤學院,曇華學院
12020005,以下哪位學妹屬於神威學院？,曹操,呂蒙,諸葛亮
12020006,以下哪位學妹屬於神威學院？,魏延,德古拉,銀月
10010007,在學長離線期間，學妹們會繼續為學長收集掛機獎勵，最多可以累積獲得多長時間的獎勵？,8小時,10小時,12小時
10010008,曹操同學的宿舍有點簡陋，從哪裡可以購買一些嶄新的家具呢？,掛機等，好家具總有一天會自己送上門的,去宿舍介面中找家具商店購買,商店街的學妹咖啡屋裡也許可以買到家具
12020007,學長找到一個難得的機會，可以和曹操同學約會，該送點什麼討她開心呢？,持刀傘,狐面,手電筒
10010010,魏延同學組織了一個新的社團，如何擴大社團的最大人數呢？,參加社團每日簽到，為社團提升經驗,參加校園聯賽戰鬥，獲得獎勵,掛機等待
10010011,曹操同學在社團活動中獲得了一些社團幣，社團幣可以用來做什麼呢？,用來在販賣機中抽獎,在社團的實驗室裡研究各種科技，提升戰姬能力,用來在約會時作為禮物送給曹操同學
10010012,過去的故事裡往往藏著通往未來的線索，在哪裡可以回顧以前的主線劇情呢？,以前的主線劇情一旦結束，就再也沒法回憶了吧？,在主線介面中選擇在以前的關卡掛機。,在選單的回憶介面中查看
10010013,學院為學長提供了許多可更換的頭像，以下哪個方法可以收集到頭像呢？,獲得一個以前從未獲得的戰姬，可以獲得該戰姬的頭像,參加打工任務可以獲得新頭像,掛機等待就可以獲得新頭像
10010014,學院為學長提供了許多可更換的頭像，以下哪個方法可以收集到頭像呢？,在宿舍的家具商店裡可以購買到頭像,在時裝店為戰姬購買一個新服裝，可以獲得該服裝的特殊頭像,加入一個好友，可以獲得好友的頭像
10010015,想要給戰姬進階，卻發現便當不夠用了，有很多方法可以收集便當，不過下面哪個做法無法獲得便當呢？,掛機等待，關卡等級越高，掛機得到的便當也越多,挑戰上頂樓的關卡，可以拿到不少便當作為獎勵,在聊天頻道跟好友要
10010016,金幣可以購買許多有價值的道具。賺取金幣的方法有很多，不過下面哪個方做法無法獲得金幣呢？,在商店街的學妹咖啡廳裡可以把戰姬兌換為金幣,掛機等待，關卡等級越高，掛機得到的金幣也越多,每天都可以在點金手中免費領取一次金幣。學長等級越高，可以領取的金幣也越多
10010017,在本服聊天頻道中，遇到了很有趣的人，是否可以向他或她發出好友申請呢？,只有當對方與自己處在同一個社團時，才可以發出好友申請,點擊對方的頭像後，在彈窗中可以向其發出好友申請,目前沒有辦法
10010018,收集一定量的戰姬碎片，就可以召喚新戰姬，不過下面哪個做法無法獲得戰姬碎片呢？,在打工任務中，有的任務會獎勵一定數量的戰姬碎片,30級之後，可以在日常測驗中獲得戰姬碎片,在宿舍和戰姬多互動幾次，就可以獲得戰姬的碎片
10010019,合理的搭配可以讓低戰力的隊伍也能戰勝高戰力的隊伍，不過以下哪個做法可能很難掌握戰姬能力呢？,在戰姬的攻略介面中可以看到該戰姬的數據與特性，甚至試玩其他玩家的陣容,直接看臉來猜測戰姬的能力,在社群平台中查看有經驗的玩家的評價
10010020,學長可以指定一些戰姬擔任看板娘，陪伴您享受遊戲的時光，在哪裡可以設置新的看板娘呢？,在個人設置中就可以設置看板娘,在主介面中點擊看板娘，再點擊替換按鈕，即可設置看板娘,目前沒有設置看板娘的方法
10010021,陸遜同學最近收到了一張摸彩券，學長知道摸彩券有什麼用途嗎？,摸彩券是在上頂樓中使用的入場券,摸彩券是在販賣機中抽取獎勵的道具,摸彩券是在扭蛋機中抽取戰姬的道具
10010022,學院裡有許多方法可以獲取高級扭蛋幣，可在扭蛋機裡抽取稀有的戰姬，不過下面哪個做法無法獲取高級扭蛋幣呢？,在商店街的福利社中可以買到高級扭蛋幣,在宿舍裡逗學妹們玩，也許她們會送來一些高級扭蛋幣,去校園中參加打工任務，有的任務可以獲得高級扭蛋幣作為報酬
10010023,經驗飲料是戰姬升級必備的材料，不過以下哪個做法無法獲得經驗飲料呢？,透過點金手可以免費領取經驗飲料,掛機等待，關卡等級越高，掛機得到的經驗飲料也越多,在商店街的福利社裡可以購買到經驗飲料
10010024,曹操同學最近從好友那裡收到了許多愛心，學長知道愛心有什麼用途嗎？,愛心可以直接賣掉，換成金幣,可以用愛心在友情扭蛋中抽取稀有的戰姬，抽到5星戰姬的機率遠比普通扭蛋更高,愛心只是好友之間友情的證明，沒有什麼特別的用處
10010025,在約會時，學長收到了一個禮物盒，學長知道禮物盒有什麼用途嗎？,使用禮物盒，可以獲取一個隨機的裝備,禮物盒可以直接賣掉，換成金幣,使用禮物盒，可以獲取一個隨機禮物、一些禮物碎片。禮物可以用來在約會時送給戰姬
10010026,想要在扭蛋池中抽取戰姬，突然發現戰姬容量不夠了，下面哪個做法無法解決問題呢？,可以在校園的轉學處，讓多餘的戰姬轉學,花費鑽石，或是提升VIP等級，均可以提升戰姬容量,沒有辦法了，只能聽天由命
10010027,鑽石是一種重要的貨幣，學園中有許多收集鑽石的方法，下面哪個做法無法收集到鑽石呢？,購買月卡後，在接下來一個月中每天領取額外鑽石,在商店街的福利社裡可以購買到鑽石,完成每日任務，參加各類活動，均可以獲得鑽石
10010028,魏延同學聽說在學園中會定期舉辦許多活動，參加活動可以獲得額外的獎勵，學長知道在哪裡可以找到這些活動嗎？,在主介面中點擊進入【趣味活動】，即可查看活動內容,在主線冒險中尋找活動,在聊天頻道中參與聊天，即可參加最新的活動
10010029,宿舍舒適度越高，可以為學長產出越高收益，用什麼辦法可以提高宿舍的舒適度呢？,在家具商店中購買家具,在宿舍裡逗學妹們玩，這樣就能提高舒適度,掛機等待
10010030,在戰鬥中，合理地安排戰姬的位置，能讓戰姬更好地發揮她們的能力，學長認為下面哪個做法更合理呢？,不管戰姬的能力是什麼，只要等級高，就可以把戰姬放在前排,有些戰姬可以主動造成大量傷害，不擅長承受傷害，優先把這些戰姬放在容易被敵人攻擊的位置,有些戰姬在受到傷害時可反擊敵人，優先把這些戰姬放在容易被敵人攻擊的位置
10010031,VIP等級能為學長提供各方面的便利，下面哪件事不屬於VIP的特權呢？,可以額外提升掛機的產出,可以直接提高戰姬的等級,可以擴展學長所能擁有的戰姬容量
10010032,VIP等級能為學長提供各方面的便利，下面哪個做法無法提升VIP等級呢？,在點金手中獲取金幣,在限定禮包中購買含有限定服裝的造型禮包,購買月卡
10020001,在校園聯賽排行榜中的戰力數據是什麼意思呢？,表示該玩家最強5位戰姬的總戰力,表示該玩家進攻陣容的總戰力,表示該玩家防守陣容的總戰力
10020002,在巔峰聯賽中戰鬥，每次需要消耗多少張競技場門票呢？,1張,3張,5張
10020003,曹操同學在組隊聯賽中創建了一支自己的小隊，如何能邀請自己的好友加入自己小隊呢？,如果該好友已經進入組隊聯賽但還沒有小隊，就可以在隊伍介面中邀請這位好友加入小隊,在好友介面中可以直接邀請好友加入小隊,在聊天頻道中可以直接邀請好友加入小隊
10020004,如何在組隊聯賽中申請加入其它玩家的小隊呢？,在聊天頻道中可以直接申請加入其它玩家的小隊,準備好防守陣容後，只要滿足戰力要求，即可申請加入其它玩家的小隊。,設置好防守陣容後，只需要等待一段時間，就會自動加入其它玩家的小隊。
10020005,終極聯賽是全服所有玩家共同爭奪的巔峰之戰，參加終極聯賽的條件是什麼呢？,校園聯賽中取得一次前十名，即可參加下一期終極聯賽,在巔峰聯賽中取得一次前十名，即可參加下一期終極聯賽,在組隊聯賽中取得一次前十名，即可參加下一期終極聯賽
10020006,坂本龍馬同學經常在終極聯賽中透過賭博來賺取金幣，學長知道這個賺錢的方法嗎？,不可能，終極聯賽裡沒有這種賺取金幣的方法,在終極聯賽中點擊玩家頭像，即可為其下注，該玩家勝利後即可獲得雙倍金幣,在終極聯賽找到下注介面，為自己支持的一方投注，如果勝利就可以獲得雙倍金幣
10020007,曹操同學在聊天時喜歡用表情展現自己的態度，下面哪個方法可以獲得一些特殊表情呢？,在體育館中打敗社團BOSS，可以獲得BOSS戰敗時的表情,在部分角色的角色挑戰中，通關最後一章即可獲得該角色的限定表情,多聊天，聊著聊著就能獲得一些特殊表情
10020008,升級使魔需要消耗使魔餅乾，從哪裡可以獲得大量使魔餅乾呢？,在每月活動中的課外實踐活動中可以獲得使魔餅乾,在商店街的福利社中可以購買,抽取普通扭蛋
10020009,有許多方法可以為喜歡的戰姬購入各種新衣服，不過以下哪個地方無法得到服裝呢？,累積足夠的服裝券後，可以在時裝店中兌換服裝,在限時禮包中，不定期會推出稀有的新服裝,掛機等待，偶爾可以獲得新服裝
12020008,坂本龍馬同學在暴擊時可以對敵人全體造成大量傷害，以下哪個魂器最適合坂本龍馬呢？,都市幻想（增加攻擊力、速度、增控率）,荊棘之心（增加攻擊力、暴擊率、暴擊傷害）,探知懷錶（增加血量、格擋）
12020009,龍胤·曹操可以引爆燃燒的效果，造成巨額傷害，下面哪位戰姬的技能可以與龍胤·曹操相配合？,銀月,諸葛亮,赤蓮
12020010,在觸發格擋後，銀月同學在釋放大招時可以額外對敵人進行一次追擊，以下哪個魂器最適合銀月呢？,瑞士軍刀（增加攻擊、暴擊率）,命運指南（增加能量、技能傷害率）,月華銀刃（增加攻擊、破甲、格擋）
12020011,有的戰姬可以在自身生命降到一半時，為己方大幅度提升戰鬥能力，下面哪位戰姬擁有這種能力呢？,曹操,貂蟬,銀月
12020012,放在前排的戰姬一般會吸引更多敵人的攻擊，下面哪位戰姬更適合放在前排呢？,龍胤·曹操（擅長攻擊、輔助）,曹植（擅長輔助、攻擊）,張飛（擅長防禦、反擊）
10020015,學園中有許多特別的風景，學長知道在哪裡可以將這些風景設置為主介面的背景嗎？,可以在選單的背景中可以找到這些風景,在商店街的福利社中可以找到這些背景,不存在這種方法吧
10020016,不少戰姬都有一些只告訴最親密之人的秘密，在哪裡可以了解到她們的故事呢？,在約會介面中，達到一定好感度後，即可解鎖戰姬的特別資料,讓戰姬參加打工任務達到一定次數，即可解鎖特別資料,掛機等待，就可以自動解鎖戰姬的特別資料
11020001,在學院招生儀式上，擔任神威學院考核官的同學是誰？,張飛,諸葛亮,曹操
11020002,以下哪位同學擔任著風紀委員的職務？,魏延,曹操,路西法
11020003,曹操同學曾秘密加入了哪個組織？,銀月後援會,DEF戰線,文學社
11020004,有一位同學常常霸佔著學校的廚房，因為興趣而製作各種料理，她是誰？,曹操,銀月,張飛
11020005,神威學院中，有一位戰姬被選為學園的教師，用無私的愛呵護學園中的同學們，她是誰？,坂本龍馬,貂蟬,陸遜
11020006,神威學院中，有一位戰姬曾作為神威學院的初代學院長，帶領大家從敵人手中保護了幽夢學園，她是誰？,銀月,曹操,張飛
11020007,神威學院中，有一位同學為了賺錢常常出沒在賭場，還常常出老千，她是誰？,關羽,坂本龍馬,銀月
11020008,神威學院中，有一位同學總喜歡宅在家裡玩遊戲，她是誰？,關羽,曹操,夏侯淵
11020009,神威學院中，有一位同學發自內心地熱愛讀書，她是誰？,曹植,坂本龍馬,張飛
11020010,在路上遇見被混沌生物襲擊的弱小學妹，如果是主線劇情中的曹操同學的話，她也許會怎麼做？,嘴上瞧不起這個弱小的學妹，不過最後還是會幫這個學妹打敗混沌生物,事不關己，遠遠離開,立刻衝上去打敗混沌生物，頭也不回地離開
11020011,在路上遇見被混沌生物襲擊的弱小學妹，如果是銀月同學的話，她也許會怎麼做？,裝作沒有看見，直接離開,毫不猶豫地挺身而出，打敗混沌生物後不會尋求任何感謝,嘲笑這個弱小的學妹，之後才打敗混沌生物
11020012,在路上遇見被混沌生物襲擊的弱小學妹，如果是坂本龍馬同學的話，她也許會怎麼做？,從遠處射擊並打敗混沌生物，又默默離開，做好事不留名,擔心自己打不過，偷偷溜之大吉,一槍打敗混沌生物，並且厚著臉皮向小學妹討賞金
11020013,陸遜同學養了一隻寵物，牠的名字是？,大尾貓,拉芙麗,巴魯
10010009,在遊戲中遇到異常情況，或者對遊戲有一些建議，以下哪個做法能最快地把想法反映給GM小甘呢？,在跨服聊天裡面尋找小甘,在選單-GM功能中聯繫小甘,在個人資訊中留言
10020017,在戰鬥中，流血、燃燒、中毒狀態會對戰姬有什麼作用呢？,被施加這些狀態時，戰姬會受到一次傷害。之後在效果生效期間，每回合開始時，戰姬都會受到一次傷害,被施加這些狀態時，戰姬的屬性數值會受到削減,處於這些狀態的戰姬會立刻受到大量傷害，之後該狀態消失
10020018,在戰鬥中，沉默狀態會對戰姬有什麼作用呢？,處於這個狀態的戰姬的所有被動技能會暫時失效,處於這個狀態的戰姬無法獲得任何能量,處於這個狀態的戰姬將暫時無法釋放主動技能
10020019,在戰鬥中，暈眩、石化、冰凍狀態會對戰姬有什麼作用呢？,處於這些狀態的戰姬無法被攻擊,處於這些狀態的戰姬無法釋放主動技能，也無法進行普通攻擊、追擊或反擊,被施加這些效果時，戰姬的屬性數值會受到削減
