id,title,desc
10101,照相館-1,怎麼答話？
10102,照相館-2,換什麼呢？
10103,照相館-3,現在只能拿到一張照片，要怎麼辦呢？
10201,高級餐廳-1,面對高昂的菜品，究竟應該點哪一道呢？
10202,高級餐廳-2,該怎麼回答呢？
10203,高級餐廳-3,面對小甘期待的眼神，到底要怎麼做呢？
10301,和服店-1,要怎麼答話呢？
10302,和服店-2,挑選什麼顏色的羽織呢？
10303,和服店-3,要怎麼回復呢？
10401,和果子店-1,選什麼呢？
10402,和果子店-2,怎麼樣？是不是很可口？
10403,和果子店-3,要不要答應呢？
10501,歇腳處-1,該怎麼回答呢？
10502,歇腳處-2,該怎麼辦呢？
10503,歇腳處-3,如何才能證明自己呢？
10601,金魚攤-1,看起來甘夫人從來飼養過金魚呢，要怎麼安慰呢？
10602,金魚攤-2,那麼該撈哪條金魚呢？
10603,金魚攤-3,看起來甘夫人真的很擔心金魚們，要怎麼辦呢？
10701,炒麵攤-1,要怎麼回答呢？
10702,炒麵攤-2,看起來要幫甘夫人做選擇了，選什麼口味呢？
10703,炒麵攤-3,炒麵向甘夫人飛了過來，要怎麼辦呢？
10801,面具店-1,看來甘夫人很在意自己與眾不同的和服造型呢，要怎麼安慰她呢？
10802,面具店-2,面對甘夫人的邀約，要怎麼回答呢？
10803,面具店-3,為甘夫人選哪個面具呢？
10901,花火大會-1,怎麼辦呢？
10902,花火大會-2,可是細看甘夫人的腳傷得非常嚴重，應該怎麼辦呢？
10903,花火大會-3,不如想想去哪裡看花火吧？
11001,選美大賽-1,感受到了強大的殺氣，怎麼回復比較合適呢？
11002,選美大賽-2,一不小心說錯話惹得甘夫人更生氣了……怎麼辦呢？
11003,選美大賽-3,那學長覺得中間的選手裡哪位最好看呢？
11101,劇院大廳-1,怎麼答話？
11102,劇院大廳-2,選擇哪一出劇碼呢？
11103,劇院大廳-3,要怎麼辦呢？
11201,觀眾席-1,面對路人的無故挑釁，要怎麼辦呢？
11202,觀眾席-2,說起來，剛剛的舞蹈演出學長覺得如何呢？
11203,觀眾席-3,小甘好像陷入了失落，要怎麼安慰呢？
11301,紀念品店-1,看起來店長的推薦和甘夫人的意見有些相左了，該聽誰的呢？
11302,紀念品店-2,該怎麼接話呢？
11303,紀念品店-3,要怎麼選擇呢？
11401,劇院後台-1,該怎麼解釋呢？
11402,劇院後台-2,想要學妹們為甘夫人化什麼樣的妝容呢？
11403,劇院後台-3,該怎麼回答呢？
11501,舞台-1,該怎麼回答呢？
11502,舞台-2,甘夫人好像因為回憶起了過去熱鬧的景象而略顯低落，要怎麼安慰呢？
11503,舞台-3,該怎麼辦呢？
20101,摩天輪-1,看起來鄧艾並沒有很想搭乘摩天輪，要怎麼說服她呢？
20102,摩天輪-2,要坐在觀景艙的哪裡呢？
20103,摩天輪-3,原來鄧艾才是有那個恐高症的人，面對害怕的鄧艾要怎麼做呢？
20201,旋轉木馬-1,面對嘴硬的鄧艾要怎麼勸說呢？
20202,旋轉木馬-2,面對小朋友的疑問，要怎麼回答呢？
20203,旋轉木馬-3,選擇什麼樣的木馬呢？
20301,冰淇淋車-1,要怎麼勸說鄧艾呢？
