id,text
110010201,滑雪真刺激啊！沒滑過雪的人生肯定是不完整的呢！
110010202,咻~咻！我可是能滑得比風還快喔~
110010203,快點滑！快點滑~要雪崩啦~我們來和雪崩賽跑吧~
110010204,我先去前面等你啦~你要趕緊追趕上來哦~
110010205,冬天真好呢~大家都可以盡情享受滑雪啊！
110010301,來點刺激的事情吧~
110010401,直行、轉彎、加速衝刺和減速……滑雪的技巧我全部掌握呢！主人~一起來享受飛翔的樂趣吧~
110010501,-1
110010601,冰雪守護！
110010701,謝謝學長！
110010801,我的滑雪板可是什麼地形都能適應的！
110011101,下次更新裝備的時候，能不能給我一塊新的滑雪板呢？
110011102,穿著這套裝備滑雪？也是一種全新的體驗呢！
110012801,要我教你滑雪嗎？體驗一次，一定不會後悔的！
110011301,放輕鬆！一切都會順利的！
110011401,唔，絆到自己了……
110011501,-1
110011502,-1
110011503,-1
110011504,-1
110011601,以我們身後的雪山為誓，今後我們的命運就被捆在同一塊板上了！
110011701,喲！快來看看我新買的滑雪板！
110011801,呵，在這小房間裡呆著不如跟我去滑雪吧！
110011901,運動完很累了吧~好好休息
110012001,一起去打工嗎？拿了工錢就能買新的滑雪裝備了！
110012101,記得領任務獎勵呀！
110012201,滑雪的時候也別忘了關注學院裡的新動向啊！
110012301,這種東西誰會喜歡啊，笨蛋~
110012401,給我的禮物？謝謝~放在那邊的休息區，然後來和我一起滑雪吧~
110012501,剛剛我在滑雪時就看到你手上的這個東西了。原來這是給我的禮物嗎？謝謝你~我很喜歡~
110012601,歡迎回來，學長！
110020201,好睏喔~已經早上了？咦？已經中午了嗎？
110020202,睡吧~睡吧~快睡吧~
110020203,吃午餐的時候再叫我吧！
110020204,床和被子，還有抱枕~都是我身體的一部分唷~
110020205,睡鼠嗎……好像在哪裡有聽過，是在哪呢，呼、呼……啊，又睡著了。
110020301,要睜不開眼了唔唔……
110020401,能讓我膝枕嗎？好睏啊，這裡也沒有床……這樣躺著……好舒服……啊~主人，能一直這樣嗎？
110020501,-1
110020601,睏死了……啦！
110020701,別，別給我灌了~喝不下了~呼~ZZZ
110020801,突然覺得更困了……
110021101,啊，這裝備好硬，睡覺會磕到……
110021102,是軟軟的衣服……呼……啊，不小心枕著睡著了~
110022801,哪裡都好，讓我趴一會……
110021301,啊，感覺能好好睡一覺了~
110021401,做了個噩夢……好可怕……
110021501,-1
110021502,-1
110021503,-1
110021504,-1
110021601,我做了個甜甜的夢，夢到主人抱著我，我穿著白紗……誒？原來不是夢嗎！
110021701,呼……呼……啊，你回來了
110021801,有床……
110021901,沒什麼事的話，我先睡一會去了……
110022001,主人你先去打工吧，我睡一會就來……
110022101,主人你快去領任務獎勵……我先睡一會……
110022201,學園裡……好吵……大概發生了什麼事吧……
110022301,別……別打擾我睡覺……
110022401,唔……禮物嗎……謝謝了……放在這邊吧~
110022501,哦~哦~謝謝你的禮物！有了這東西我就能更舒適的睡覺了~你也一起躺下吧，睡覺是一件很享受的事哦！
110022601,歡迎回來，主人~
110030201,礙事的人全部都要幹掉！全部，全部，全部！
110030202,這個世界上只要有你就夠了！其他全部都毀滅吧！
110030203,那傢伙已經不在囉。因為那傢伙，想要接近你呢。
110030204,吶~永遠在一起吧！！
110030205,主人~沒關係的唷，只要有我在，絕對不會讓主人受傷的！
110030301,就讓你沒有痛苦的走吧。
110030401,想這樣一直一直到永遠都被這樣看著，只看著我一個，只看到我一個。
110030501,-1
110030601,毀滅吧！
110030701,給我，更多！
110030801,讓我拿一把更大的刀來~
110031101,呐，這是只有我才有的吧！只有我吧！
110031102,有了這身裝備，礙事的傢夥都能去除了！
110032801,可以獨佔主人了~呵呵呵呵~
110031301,主人，要給我獎勵呀~
110031401,不，不該是這樣的結果……
110031501,-1
110031502,-1
110031503,-1
110031504,-1
110031601,想要阻止我們在一起的傢夥，已經一個都不存在了！以後也一個都不會再增加！
110031701,你終於回來了！我的主人！
110031801,我會在這裡等你的~
110031901,啊！主人在我的腿上睡著了，多麼美妙的時刻，要是能永遠持續下去就好了！
110032001,主人，打工的時候可不許對別的學妹東張西望的喲~
110032101,主人的任務獎勵還沒有領。
110032201,學園裡發生多大的事都不能打擾我和主人相處的時光！
110032301,我不需要~
110032401,禮物？希望你只送給過我哦~
110032501,給我這個？那個也是我的？你也是我的~
110032601,你終於回來了呢~我的主人！呵呵呵~
120010201,主人！才沒有……特別服務那種東西呢。
120010202,曹洪的生存意義，就是為了主人竭盡全力。
120010203,主人，要怎麼處理這個人呢……是要讓他的手再也不能用嗎？還是要讓他再也看不見東西呢？
120010204,只要是主人所期望的，本人曹洪，絕對會實現主人的願望！
120010205,我並不是沒有自己的意願，但是，主人才是最應該優先考慮的。
120010301,這是主人的命令。
120010401,主人，這裡是今日出門時的衣物。早飯也已經準備好了。牙刷和牙膏在這裡。其他還有什麼需要的嗎？
120010501,-1
120010601,給我過來！
120010701,比起我，先把經驗飲料給更需要的姐姐們吧~
120010801,希望能為主人做到更多的事情~
120011101,我穿女僕裝就好啦~誒？是主人想看嗎？那好，我這就去換上~
120011102,主人今天又想看我穿什麼呢？
120012801,主人要去散步嗎？請讓我同行吧。
120011301,不愧是主人，取得勝利真是輕而易舉！
120011401,主人你先撤退，敵人由我來拖住~
120011501,-1
120011502,-1
120011503,-1
120011504,-1
120011601,主人，你這是……我明白了，既然這是您的心意，我就滿懷感激的接受吧，今後請讓我時刻相伴左右。
120011701,我已經把房間收拾乾淨了，您還有什麼吩咐嗎？
120011801,是要打掃這件房間對嗎？我立即照辦~
120011901,床鋪已經準備好了，要是您覺得疲勞的話，我送您回去休息吧~
120012001,打工的時間到了哦~雖然由我代勞也是可以的，但既然主人您興致勃勃，我就不多此一舉了~
120012101,請不要忘記您的任務獎勵~
120012201,學園裡有新的事件發生，您要是打算去處理的話，請讓我一同前往。
120012301,嗯，主人……你就這麼討厭我嗎？
120012401,主人，這東西你忘記帶上了~嗯？給我的禮物？
120012501,這麼貴重的物品，我真的可以收下嗎？
120012601,歡迎回來，主人！
120020201,嗯？想要試試看能不能破壞這面盾牌？請吧……想怎麼試都可以的……
120020202,人心既有如玻璃一樣脆弱的時候，也有與鋼鐵一般堅硬的時候呢……真是不可思議呢~
120020203,隨著攻擊的屬性而變換防禦的特性。這都是科技的結晶。
120020204,盾……為了守護自己，可是心……要怎麼守護。
120020205,一直都是我在守護，何時能有人守護我呢？
120020301,護盾！展開！
120020401,我會是你最強的盾牌，為你阻擋一切攻擊。但如果是你的心靈遭受到的攻擊……我是……無能為力的……
120020501,-1
120020601,為守護而戰！
120020701,……防禦力提升~
120020801,為了擋住更猛烈的攻勢，我的盾還需要更堅硬！
120021101,這衣服看上去不是很牢固的樣子~
120021102,請把最厚的盔甲給我~
120022801,讓我站在最前面吧，這是我生來的使命~
120021301,你們休想打倒我！
120021401,即使盾破，也會以此身守護背後的人們~
120021501,-1
120021502,-1
120021503,-1
120021504,-1
120021601,即使是盾也不能覆蓋到所有的地方，所以我最脆弱的後背就交給你了，主人~
120021701,主人我什麼時候可以出陣？
120021801,紀靈在此待命！
120021901,像這樣靜靜地守著你，心裡就會有一絲溫暖的感覺，這是什麼情感呢，主人？
120022001,主人，你該去打工了。
120022101,任務獎勵，還沒有領取。
120022201,學園裡發生的新事件需要主人去處理，我也會祝你一臂之力的。
120022301,沒興趣~
120022401,禮物？謝謝~
120022501,唔~不好，我的心快被主人攻陷了……
120022601,無事安好就最好了，主人~
120030201,最美味的果實不一定是長在最高的地方喔！人類不也是這樣嗎？
120030202,藍莓真的很優雅呢。要嘗一口嗎？我最喜歡的還是做成優格唷，主人呢？
120030203,蘋果在冬天是最甜的，也許只是心情的問題吧！但是看到那散發著光芒的紅色，就會感覺特別開心呢！
120030204,這個還沒有熟透呢。絕對不能偷吃喔！沒有在最美味的時候吃就太可惜了。
120030205,自己摘的東西果然特別美味呢~
120030301,去摘果實吧~
120030401,主人的維生素不足了嗎？那就讓我來幫您補充營養吧！現在這個季節的荔枝是最美味的唷！要不要嘗嘗看呀？
120030501,-1
120030601,要嘗嘗榴槤的滋味嗎？
120030701,你給我喝飲料，那我就請你吃水果~
120030801,變得厲害以後，就可以直接跳上樹梢摘水果了！
120031101,真是件好看的衣服呀，謝謝你！
120031102,總是給我新衣服真是謝謝你啦！作為回禮，這籃水果給你！都是我剛剛挑選過的~
120032801,你要陪我到果園去看看嗎？
120031301,就算是水果也會生氣的啦~
120031401,嗚嗚嗚……水果籃子被打翻了……
120031501,-1
120031502,-1
120031503,-1
120031504,-1
120031601,喜歡水果的你一定也是個好人……呀，能和這樣的人在一起吃水果，那可真是雙份的喜悅呢~
120031701,我洗了蘋果放在桌上，你自己拿呀~
120031801,主人的房間真大呀~
120031901,你先睡一會會，我給你洗個水果去哦~
120032001,該去打工啦~
120032101,任務獎勵記得領呀~
120032201,啊，學園裡發生了騷動，我得去看看我的果園還好不好……主人也趕緊去把騷動處理掉吧！
120032301,果然，我還是更喜歡新鮮的東西啊~
120032401,謝謝你~
120032501,這件禮物真是太棒了，我很喜歡~謝謝主人~
120032601,歡迎回來，主人，要吃蘋果嗎？
130010201,『按摩』？對不起，我不能理解這個命令。
130010202,『穿越時空』？對不起，你沒有那個許可權。
130010203,電力不足了，Master，請盡快充電。
130010204,『Error』！『Error』！執行命令出錯，請重新輸入命令！
130010205,『感情』未設置相關程式。操作失敗。
130010301,啟動攻擊程式。
130010401,滋滋！跳躍成功！時空機器人，代號C204，來自2036年，請輸入您的指令！
130010501,-1
130010601,執行程式。
130010701,系統升級。
130010801,數據處理速度提升。
130011101,新程式載入完成。
130011102,『Error』！無法搭載大型攻擊型武器。
130012801,指令接收完成，出擊。
130011301,目標已被清除。
130011401,機體受損，判斷當前獲勝機率為1%。
130011501,-1
130011502,-1
130011503,-1
130011504,-1
130011601,有關我自己的所有系統操作都記錄在了晶片中，Master的努力我都知道的。謝謝你，今後也請多多關照了。
130011701,你好，Master。
130011801,判斷到達預計地點，開始執行『待機』命令。
130011901,當前未完成指令數量：0，請輸入新指令。
130012001,嘟嘟嘟，這是預設事項提醒，事項名：打工。
130012101,嘟嘟嘟，這是預設事項提醒，事項名：領取任務獎勵。
130012201,檢測到操場能量波動劇烈，是否立即啟動學園防禦程式？
130012301,『Error』！『禮物』難以接受！
130012401,『禮物』，感謝！
130012501,『Error』！動力源溫度過高！警告！主人，你的『禮物』，給我一種……奇怪的，以前從未有過的感覺……
130012601,歡迎回來，Master！
130020201,弗蘭肯和德古拉，魔女和狼人，喪屍和骸骨……啊啊！萬聖節是明天啦！不要出來亂跑啦！
130020202,大家看好我的帽子喔~想要我變出什麼呢？什麼都可以變出來唷！
130020203,害怕的話，一起躲到床下面吧！
130020204,主~人！我忘了帶禮物來了。所以，我把自己當做禮物送給你！開玩笑的啦！
130020205,你想試試魔法的掃帚嗎？要保持平衡的話有點難吧？
130020301,來吧！一起玩吧！
130020401,嘿嘿嘿！不給糖就搗蛋！主人，不給我糖果的話，我就要搗亂啦！
130020501,-1
130020601,我來搗亂啦~！
130020701,我需要更多的糖果~
130020801,雖然平時沒什麽存在感，但我也是在一直努力的喔！
130021101,這武器我應該用不上吧？
130021102,想要一根新的法杖……
130022801,那個，敵人們會過萬聖節嗎？
130021301,沒有人能在我的節日裡擊敗我~
130021401,今天……不是萬聖節啊……
130021501,-1
130021502,-1
130021503,-1
130021504,-1
130021601,雖然很喜歡萬聖節，但是要說真正的願望的話，還是希望能住進某個人的心裡呢~
130021701,你終於來了啊~今天份的糖果，有記得帶上嗎？
130021801,我就把收到的糖果都藏到床底下吧~
130021901,雖然在這裡睡著有些奇怪，但還是祝你有個好夢吧~
130022001,我可沒辦法幫你去打工，自己的事自己做好喔！
130022101,今天的任務獎勵是，糖果！哈哈，我開玩笑的啦！
130022201,別忘了去看看我昨天說的那個詭異的教室喔~就在那棟廢棄的教學樓裡啦！
130022301,喂！不給糖就算了，你這是什麽意思啊？
